TNC	Tnc
CAPN2	Capn2
MAPT	Mapt
TLR2	Tlr2
GPR183	Gpr183
GUCA2B	Guca2b
ARHGEF3	Arhgef3
GTF2A1L	Gtf2a1l
PSMA1	Psma1
RGS2	Rgs2
BAALC	Baalc
SRSF7	Srsf7
KLHL5	Klhl5
SLC41A2	Slc41a2
CTNNA1	Ctnna1
PPFIA2	Ppfia2
ARL6IP5	Arl6ip5
STAT3	Stat3
NDUFB6	Ndufb6
PDZD8	Pdzd8
STEAP1	Steap1
NXT2	Nxt2
WDR49	Wdr49
DUSP1	Dusp1
SMNDC1	Smndc1
PPP6C	Ppp6c
PI4K2A	Pi4k2a
CAT	Cat
EEA1	Eea1
MR1	Mr1
METAP2	Metap2
UBE2E1	Ube2e1
PHLDA1	Phlda1
MPZL1	Mpzl1
POR	Por
ACTR3	Actr3
FAM135B	Fam135b
FSD2	Fsd2
HEATR5A	Heatr5a
AKIRIN2	Akirin2
ZNF786	Zfp786
WDR74	Wdr74
CDKN1B	Cdkn1b
ZFP36L1	Zfp36l1
RANBP17	Ranbp17
C17orf53	BC030867
CSTF3	Cstf3
CDH19	Cdh19
ADH5	Adh5
YPEL2	Ypel2
CDC42EP3	Cdc42ep3
NSMCE1	Nsmce1
ACBD3	Acbd3
DYRK1A	Dyrk1a
NUP88	Nup88
EIF3A	Eif3a
ALG9	Alg9
CASP3	Casp3
SCUBE2	Scube2
TIMM23	Timm23
PPP4R1	Ppp4r1
PRKDC	Prkdc
PTBP3	Ptbp3
CMAS	Cmas
HOXB7	Hoxb7
ITM2C	Itm2c
ZDHHC9	Zdhhc9
POMT2	Pomt2
AHCYL1	Ahcyl1
EFR3A	Efr3a
TUSC3	Tusc3
MANBA	Manba
OR52L1	Olfr685
FABP12	Fabp12
KCNA10	Kcna10
KIT	Kit
ENDOD1	Endod1
NHLRC3	Nhlrc3
SLC25A3	Slc25a3
CEP192	Cep192
SUPT4H1	Supt4a
ITFG1	Itfg1
NOP2	Nop2
TM9SF2	Tm9sf2
S100A8	S100a8
ZBTB25	Zbtb25
SRP72	Srp72
STK10	Stk10
DDX3X	Ddx3x
AKAP11	Akap11
ID1	Id1
SETD3	Setd3
DNMBP	Dnmbp
PLAA	Plaa
JAK2	Jak2
SLC44A1	Slc44a1
GLTP	Gltp
TMEM104	Tmem104
SNRPF	Snrpf
GPRC5B	Gprc5b
SBF2	Sbf2
FABP4	Fabp4
PLBD1	Plbd1
SYCP3	Sycp3
GPLD1	Gpld1
USP7	Usp7
C16orf62	9030624J02Rik
CHMP2A	Chmp2a
NAT1	Nat2
MAPKAP1	Mapkap1
AMFR	Amfr
GNPTAB	Gnptab
