TNC	Tnc
FAM208B	Fam208b
SLA	Sla
PKIA	Pkia
JPH4	Jph4
GBE1	Gbe1
EIF5B	Eif5b
NPW	Npw
PI4KB	Pi4kb
FAM189B	Fam189b
IPO13	Ipo13
ADNP	Adnp
WDHD1	Wdhd1
ACER3	Acer3
RCBTB2	Rcbtb2
ZNF652	Zfp652
USP8	Usp8
RASD1	Rasd1
BMP2	Bmp2
PFKFB1	Pfkfb1
DCTN6	Dctn6
GPR155	Gpr155
CPB1	Cpb1
CCDC113	Ccdc113
STEAP3	Steap3
PPP3CB	Ppp3cb
DDIT4	Ddit4
GALC	Galc
ACBD6	Acbd6
AAGAB	Aagab
OR4K1	Olfr728
EPM2A	Epm2a
PTGFRN	Ptgfrn
OR5AK2	Olfr993
IRAK3	Irak3
RFC5	Rfc5
ST8SIA6	St8sia6
ICAM1	Icam1
INTS10	Ints10
SF3A1	Sf3a1
SERPINI2	Serpini2
XPA	Xpa
CMBL	Cmbl
MREG	Mreg
IL10RA	Il10ra
APEX1	Apex1
PRPF8	Prpf8
ZNF706	Zfp706
SCFD1	Scfd1
HDLBP	Hdlbp
TBCD	Tbcd
FICD	Ficd
CCNG1	Ccng1
RNF219	Rnf219
VPS13A	Vps13a
ASAP1	Asap1
UBQLN1	Ubqln1
SYDE2	Syde2
MAB21L1	Mab21l1
PEBP4	Pebp4
SULT1C2	Sult1c2
ORMDL2	Ormdl2
TNIP3	Tnip3
ALCAM	Alcam
FERMT3	Fermt3
FRK	Frk
SPARCL1	Sparcl1
SETD2	Setd2
GNAO1	Gnao1
IQGAP2	Iqgap2
RPP14	Rpp14
BFAR	Bfar
TPP1	Tpp1
CYP2U1	Cyp2u1
FAM217B	Fam217b
TPMT	Tpmt
AQR	Aqr
GRHPR	Grhpr
SAMD8	Samd8
RDX	Rdx
PDCD6IP	Pdcd6ip
RAB5A	Rab5a
HUS1	Hus1
FKBP3	Fkbp3
MGST1	Mgst1
ACADSB	Acadsb
VPS41	Vps41
DCLK2	Dclk2
TYW3	Tyw3
ADAMTS3	Adamts3
EHF	Ehf
FLI1	Fli1
LRCH1	Lrch1
PRKAR1A	Prkar1a
ATG2B	Atg2b
GLIPR2	Glipr2
GALNS	Galns
OXTR	Oxtr
MET	Met
PINX1	Pinx1
MORC4	Morc4
LAP3	Lap3
MKNK1	Mknk1
DICER1	Dicer1
IDH2	Idh2
FRY	Fry
SCNN1B	Scnn1b
OR4K5	Olfr729
SEC61A1	Sec61a1
C11orf54	4931406C07Rik
ITGB2	Itgb2
SYT9	Syt9
SALL3	Sall3
TMED8	Tmed8
SUSD1	Susd1
PABPC5	Pabpc5
HOXD13	Hoxd13
PLLP	Pllp
OR4C15	Olfr1211
HIPK4	Hipk4
HERC3	Herc3
MEF2A	Mef2a
NDUFB8	Ndufb8
ARFGAP3	Arfgap3
RHEBL1	Rhebl1
CRAT	Crat
C9orf85	1110059E24Rik
SLC5A5	Slc5a5
JAK1	Jak1
NUP43	Nup43
TMEM176A	Tmem176a
SHB	Shb
RPA1	Rpa1
SNTB2	Sntb2
PPP2R2A	Ppp2r2a
CLDN14	Cldn14
SSBP1	Ssbp1
NUP37	Nup37
PRKCI	Prkci
TMF1	Tmf1
GZMK	Gzmk
ZBTB33	Zbtb33
FIGNL2	Fignl2
LCN2	Lcn2
LYAR	Lyar
RHPN2	Rhpn2
THEM5	Them5
HIST1H2BC	Hist1h2bg
CAPG	Capg
ACTN1	Actn1
ZSWIM6	Zswim6
P2RX7	P2rx7
PSMD4	Psmd4
ARFIP1	Arfip1
ASXL2	Asxl2
CROCC	Crocc
GLIS1	Glis1
PHF6	Phf6
RBL2	Rbl2
TMEM184C	Tmem184c
DET1	Det1
MATN1	Matn1
SYNM	Synm
UBE2QL1	Ube2ql1
FANCI	Fanci
BRD7	Brd7
NFS1	Nfs1
HOOK3	Hook3
SNX2	Snx2
LCA5L	Lca5l
TMEM17	Tmem17
UBA3	Uba3
TSN	Tsn
PEX11B	Pex11b
NPAS2	Npas2
MAP2	Map2
TSPAN15	Tspan15
SUN3	Sun3
PRSS54	Prss54
ENTPD5	Entpd5
TGFBR3	Tgfbr3
SLC35F5	Slc35f5
TMPRSS2	Tmprss2
PSMB1	Psmb1
TJP1	Tjp1
MECOM	Mecom
NUP133	Nup133
MACROD2	Macrod2
FAM129C	Fam129c
STARD10	Stard10
ITGAM	Itgam
SEMA4G	Sema4g
VPS52	Vps52
XPO4	Xpo4
NR2F2	Nr2f2
FAM135A	Fam135a
NMT2	Nmt2
FAM69C	Fam69c
TXLNG	Txlng
CEP112	Cep112
PLIN2	Plin2
FKBP15	Fkbp15
TNN	Tnn
CERS6	Cers6
NUP98	Nup98
SERP2	Serp2
ISCU	Iscu
ANAPC16	Anapc16
PEPD	Pepd
ST3GAL3	St3gal3
DCTD	Dctd
RBM7	Rbm7
C2	C2
MRPL18	Mrpl18
TNFAIP3	Tnfaip3
PYGM	Pygm
C12orf57	Grcc10
APH1A	Aph1a
CTR9	Ctr9
DIS3	Dis3
TLR5	Tlr5
KCTD9	Kctd9
SMG7	Smg7
ANKIB1	Ankib1
DNAJB14	Dnajb14
NAP1L1	Nap1l1
DPM1	Dpm1
ERAP1	Erap1
LY6G5C	Ly6g5c
HDDC2	Hddc2
SLC16A4	Slc16a4
MAL	Mal
RANBP9	Ranbp9
TMEM72	Tmem72
SURF4	Surf4
UBR1	Ubr1
NT5C1A	Nt5c1a
PLA2G2D	Pla2g2d
ANKRD12	Ankrd12
OR13J1	Olfr71
RAB8B	Rab8b
KIRREL2	Kirrel2
SLC45A2	Slc45a2
DCLRE1A	Dclre1a
ATP6V1C1	Atp6v1c1
ZNF266	Zfp266
HOXA4	Hoxa4
THNSL2	Thnsl2
CXCR4	Cxcr4
TRAF3IP3	Traf3ip3
SEC23A	Sec23a
TMEM59	Tmem59
LRRC71	Lrrc71
FBF1	Fbf1
EP300	Ep300
AMMECR1	Ammecr1
SIPA1L3	Sipa1l3
PTPN13	Ptpn13
CNNM1	Cnnm1
FIS1	Fis1
ATP2B1	Atp2b1
MYO5A	Myo5a
ANKRD28	Ankrd28
LPCAT3	Lpcat3
ZKSCAN1	Zkscan1
SEZ6L2	Sez6l2
SNX27	Snx27
PREX2	Prex2
PDLIM1	Pdlim1
FASTKD1	Fastkd1
MORN4	Morn4
CEL	Cel
CYP39A1	Cyp39a1
SCAMP1	Scamp1
ZMPSTE24	Zmpste24
IBTK	Ibtk
SGCD	Sgcd
OR5H2	Olfr196
MYO1A	Myo1a
SYPL2	Sypl2
PLCB1	Plcb1
PPP2R3A	Ppp2r3a
ENOX2	Enox2
PEG3	Peg3
DAAM2	Daam2
C10orf62	4933411K16Rik
STYK1	Styk1
GDI2	Gdi2
C2orf73	4930505A04Rik
USP14	Usp14
RBBP6	Rbbp6
TOP2B	Top2b
PLRG1	Plrg1
RDH13	Rdh13
SPTBN1	Sptbn1
SLC2A5	Slc2a5
CFLAR	Cflar
TXN	Txn1
TPH1	Tph1
RASA3	Rasa3
SYNPO2L	Synpo2l
CFL1	Cfl1
CCT3	Cct3
P2RX1	P2rx1
ANKMY2	Ankmy2
UBXN8	Ubxn8
SPOCK2	Spock2
SASH3	Sash3
ARL14	Arl14
MARCH7	March7
JPH3	Jph3
SF3A3	Sf3a3
TSPEAR	Tspear
LIMA1	Lima1
GAS2L1	Gas2l1
EIF3C	Eif3c
PCDHA1	Pcdha1
ZNF831	Zfp831
OSBPL6	Osbpl6
ALG10	Alg10b
NUP107	Nup107
CNPY4	Cnpy4
FAM160A2	Fam160a2
CCP110	Ccp110
MEF2C	Mef2c
PPWD1	Ppwd1
QRICH2	Qrich2
RDH8	Rdh8
SRGAP2	Srgap2
MAGED1	Maged1
XRN2	Xrn2
ITPKB	Itpkb
COPG2	Copg2
DHRS7	Dhrs7
PCYT1A	Pcyt1a
DSG4	Dsg4
RUVBL1	Ruvbl1
SLC7A3	Slc7a3
ZC3HAV1	Zc3hav1
LCA5	Lca5
CSDE1	Csde1
CTNNB1	Ctnnb1
KSR1	Ksr1
SYNJ2BP	Synj2bp
CUL2	Cul2
SLC6A14	Slc6a14
OR7D4	Olfr39
PGR	Pgr
ERLIN2	Erlin2
DPY19L2	Dpy19l2
SWSAP1	Swsap1
WDR18	Wdr18
ADAMDEC1	Adamdec1
ZC3H10	Zc3h10
PTGDR2	Ptgdr2
PIEZO2	Piezo2
RAB40C	Rab40c
TMEM248	Tmem248
TBC1D1	Tbc1d1
ITGB4	Itgb4
DDX3Y	Ddx3y
TAS2R31	Tas2r136
CREBL2	Crebl2
SCRG1	Scrg1
SEC24C	Sec24c
MTX3	Mtx3
CADM1	Cadm1
ASGR1	Asgr1
GPR20	Gpr20
PDLIM4	Pdlim4
AWAT2	Awat2
CLINT1	Clint1
FMR1	Fmr1
CHN2	Chn2
HOMER2	Homer2
MCF2L	Mcf2l
CCL5	Ccl5
NRG3	Nrg3
ARHGEF25	Arhgef25
MYL6B	Myl6b
POFUT1	Pofut1
PTPN3	Ptpn3
BASP1	Basp1
SKA1	Ska1
PLS1	Pls1
EPHA4	Epha4
MMP13	Mmp13
H2AFV	H2afv
TRIB3	Trib3
SDF2L1	Sdf2l1
NEMF	Nemf
DDX6	Ddx6
RHOT1	Rhot1
DOCK1	Dock1
FUT10	Fut10
RHBDD3	Rhbdd3
DUOXA1	Duoxa1
PEX5	Pex5
FFAR2	Ffar2
GANAB	Ganab
XRCC4	Xrcc4
LENEP	Lenep
R3HDM2	R3hdm2
CES1	Ces1d
FAM49A	Fam49a
SLC7A9	Slc7a9
AFG3L2	Afg3l2
NAAA	Naaa
GCM2	Gcm2
TRAPPC10	Trappc10
KLHL33	Klhl33
TMC5	Tmc5
KIAA1024	AF529169
CEP70	Cep70
CDADC1	Cdadc1
DHX8	Dhx8
BIRC2	Birc2
GALNT13	Galnt13
PSKH1	Pskh1
RRAS	Rras
INPP5D	Inpp5d
ZNF385B	Zfp385b
GALNT2	Galnt2
FPR1	Fpr1
KLHL1	Klhl1
PLA1A	Pla1a
CCR2	Ccr2
DIP2B	Dip2b
PDE8B	Pde8b
HADHB	Hadhb
NUP188	Nup188
TMPRSS12	Tmprss12
IFNGR1	Ifngr1
BBS10	Bbs10
ATP11A	Atp11a
KLF10	Klf10
SLC9A8	Slc9a8
OSBPL3	Osbpl3
MED17	Med17
QPCT	Qpct
CLU	Clu
HRASLS5	Hrasls5
IER3IP1	Ier3ip1
TFCP2	Tfcp2
IGSF9B	Igsf9b
MAD2L1	Mad2l1
BLCAP	Blcap
OSBPL1A	Osbpl1a
KCNS1	Kcns1
LMNB1	Lmnb1
DISP2	Disp2
SORT1	Sort1
DCLK1	Dclk1
NOX4	Nox4
AXL	Axl
LHX4	Lhx4
ALDH2	Aldh2
GFPT2	Gfpt2
ASH1L	Ash1l
PTCD3	Ptcd3
BICD1	Bicd1
RASL12	Rasl12
PRKAA1	Prkaa1
SLC6A16	Slc6a16
ZCCHC2	Zcchc2
CIT	Cit
USP33	Usp33
ACO2	Aco2
KCND1	Kcnd1
KDM5A	Kdm5a
NANOS1	Nanos1
PAM16	Pam16
ULK2	Ulk2
CETN1	Cetn1
SPIB	Spib
CPEB2	Cpeb2
TRIP12	Trip12
UBE2V2	Ube2v2
ANKRD24	Ankrd24
DCP1B	Dcp1b
CCDC66	Ccdc66
EIF2AK1	Eif2ak1
FLNB	Flnb
FBXO32	Fbxo32
TFIP11	Tfip11
RNF32	Rnf32
CRYBB3	Crybb3
TMEM179	Tmem179
CCDC15	Ccdc15
CENPE	Cenpe
PSMC5	Psmc5
EXTL1	Extl1
SNAPC1	Snapc1
HELB	Helb
AIM2	Aim2
DGKB	Dgkb
EFCAB11	Efcab11
PHGDH	Phgdh
HIRIP3	Hirip3
CTSF	Ctsf
DLGAP2	Dlgap2
KRT39	Krt39
ZNF574	Zfp574
OR51I1	Olfr640
SUCLG1	Suclg1
RRM1	Rrm1
ATP6V1E1	Atp6v1e1
ELFN2	Elfn2
WNT8B	Wnt8b
CD46	Cd46
GOLPH3	Golph3
CHST1	Chst1
BLVRA	Blvra
RAB3GAP2	Rab3gap2
PTGS2	Ptgs2
TMEM184B	Tmem184b
GPD1	Gpd1
MTHFD2	Mthfd2
DHX15	Dhx15
C17orf62	BC017643
EYA1	Eya1
TPCN1	Tpcn1
TMEM163	Tmem163
DLD	Dld
PLEKHF1	Plekhf1
ALG14	Alg14
FOXA2	Foxa2
DDN	Ddn
L3MBTL4	L3mbtl4
INHA	Inha
REPS1	Reps1
DNAJB9	Dnajb9
DZIP3	Dzip3
MAP3K1	Map3k1
MCL1	Mcl1
CBLL1	Cbll1
ERI2	Eri2
SMARCA5	Smarca5
TTN	Ttn
FOS	Fos
PHF2	Phf2
MYBPC1	Mybpc1
GORASP1	Gorasp1
GPX3	Gpx3
LACTB2	Lactb2
HLA-DRB5	H2-Eb1
ZNF277	Zfp277
TPI1	Tpi1
SDF2	Sdf2
C18orf25	8030462N17Rik
CX3CL1	Cx3cl1
TROVE2	Trove2
TUBB2B	Tubb2b
RPS27A	Rps27a
ARV1	Arv1
EXT2	Ext2
GNPTG	Gnptg
HACL1	Hacl1
PUS7L	Pus7l
NAP1L5	Nap1l5
CBR3	Cbr3
KCTD3	Kctd3
CSNK2B	Csnk2b
HEY2	Hey2
MED13	Med13
AKTIP	Aktip
TSPYL5	Tspyl5
ANKRD33	Ankrd33
CSPG4	Cspg4
LCOR	Lcor
PDCD2L	Pdcd2l
PCDHB14	Pcdhb20
NT5M	Nt5m
HTATSF1	Htatsf1
NEDD1	Nedd1
FGF22	Fgf22
ANGEL1	Angel1
BVES	Bves
KHNYN	Khnyn
TREML1	Treml1
CELF2	Celf2
SPOP	Spop
ANGPT1	Angpt1
UGT2A3	Ugt2a3
SLC12A4	Slc12a4
UNC119	Unc119
BUB1B	Bub1b
VPS26B	Vps26b
TMEM98	Tmem98
BMX	Bmx
RGN	Rgn
MRVI1	Mrvi1
GGT7	Ggt7
SLC4A4	Slc4a4
AGPAT5	Agpat5
RND2	Rnd2
TP53I11	Trp53i11
LUM	Lum
SLC25A15	Slc25a15
SLC30A5	Slc30a5
ZNF148	Zfp148
ABCC1	Abcc1
PPP3CA	Ppp3ca
POLE	Pole
CHD8	Chd8
SLC25A33	Slc25a33
SULT1E1	Sult1e1
AAMP	Aamp
DNALI1	Dnali1
FAM83F	Fam83f
PAK1	Pak1
NAPEPLD	Napepld
SLC7A11	Slc7a11
LAMA2	Lama2
CDC27	Cdc27
USP30	Usp30
SPATS2L	Spats2l
ITGBL1	Itgbl1
OS9	Os9
DLG3	Dlg3
COX6B1	Cox6b1
ANKRD31	Ankrd31
EBNA1BP2	Ebna1bp2
TJAP1	Tjap1
TAF9B	Taf9b
ZMYM2	Zmym2
REEP4	Reep4
OPN5	Opn5
EOMES	Eomes
PALMD	Palmd
REL	Rel
COMMD10	Commd10
CHRNB3	Chrnb3
NPC1	Npc1
PTGDS	Ptgds
SYPL1	Sypl
UTP14C	Utp14b
SLMAP	Slmap
MAP4K5	Map4k5
MOS	Mos
FYTTD1	Fyttd1
METTL14	Mettl14
CDC26	Cdc26
NHSL1	Nhsl1
HAPLN3	Hapln3
SLC10A3	Slc10a3
OR6N2	Olfr430
EIF3K	Eif3k
CHAC1	Chac1
SLC39A5	Slc39a5
ELAVL2	Elavl2
TMEM87B	Tmem87b
GTPBP10	Gtpbp10
SHMT1	Shmt1
GDI1	Gdi1
NSRP1	Nsrp1
GDAP2	Gdap2
FIGNL1	Fignl1
DCLK3	Dclk3
LONP2	Lonp2
PAX5	Pax5
ZNF507	Zfp507
TRAF3	Traf3
ATP8B3	Atp8b3
NCOA2	Ncoa2
PTPRQ	Ptprq
AHSA1	Ahsa1
ZNF830	Zfp830
SNRPA1	Snrpa1
DNAJA1	Dnaja1
MCPH1	Mcph1
HAUS4	Haus4
UVRAG	Uvrag
HNRNPH3	Hnrnph3
C16orf72	1810013L24Rik
PRKAR2B	Prkar2b
D2HGDH	D2hgdh
CD70	Cd70
POLDIP2	Poldip2
LIF	Lif
NEUROG3	Neurog3
PLCXD3	Plcxd3
DDOST	Ddost
MTMR14	Mtmr14
RNF121	Rnf121
GNL2	Gnl2
CNEP1R1	Cnep1r1
RBM17	Rbm17
C12orf29	4930430F08Rik
HEPH	Heph
SPCS1	Spcs1
MBD3	Mbd3
KPNA1	Kpna1
TMEM42	Tmem42
KAT5	Kat5
HERC6	Herc6
LRRC40	Lrrc40
PPP1R15B	Ppp1r15b
GTF2IRD1	Gtf2ird1
BRAF	Braf
RASL10A	Rasl10a
PDZD3	Pdzd3
TAPBP	Tapbp
AGAP3	Agap3
SLC48A1	Slc48a1
SCARB2	Scarb2
IL13	Il13
NUDT15	Nudt15
YTHDC2	Ythdc2
OR4D11	Olfr1423
CNIH4	Cnih4
DSTYK	Dstyk
RHOBTB1	Rhobtb1
ENPP2	Enpp2
LGALS2	Lgals2
MIER1	Mier1
KAZN	Kazn
PAPOLA	Papola
HSPA4	Hspa4
C15orf41	BC052040
OTUD7A	Otud7a
SPTLC2	Sptlc2
MLEC	Mlec
TTC39B	Ttc39b
PAF1	Paf1
ANKRD1	Ankrd1
BBIP1	Bbip1
GOT2	Got2
PHYHD1	Phyhd1
AP5S1	Ap5s1
CPQ	Cpq
LHFPL1	Lhfpl1
TDRD3	Tdrd3
CTNNBIP1	Ctnnbip1
TBC1D20	Tbc1d20
TXN2	Txn2
BMPR1A	Bmpr1a
SERPIND1	Serpind1
C12orf50	1700017N19Rik
OR8K5	Olfr1053
OR11H6	Olfr745
SIN3A	Sin3a
OR6X1	Olfr986
SSR2	Ssr2
FBXO28	Fbxo28
TPR	Tpr
COMMD2	Commd2
UTP18	Utp18
TFAM	Tfam
WWC2	Wwc2
DLL3	Dll3
WDR62	Wdr62
FRRS1	Frrs1
EML1	Eml1
CDYL2	Cdyl2
C6orf136	2310061I04Rik
ARHGAP28	Arhgap28
SYNGR1	Syngr1
ZNF563	Zfp563
TERF1	Terf1
SERPINF1	Serpinf1
NXPH2	Nxph2
STARD4	Stard4
COL10A1	Col10a1
MUT	Mut
COX8A	Cox8a
CAPSL	Capsl
IGDCC3	Igdcc3
WAC	Wac
C16orf46	1700030J22Rik
CCDC59	Ccdc59
CLPB	Clpb
KCTD11	Kctd11
ATP6V0B	Atp6v0b
TSHR	Tshr
DHX37	Dhx37
LRTM2	Lrtm2
MEGF10	Megf10
MEGF9	Megf9
TGDS	Tgds
IL18RAP	Il18rap
FOXQ1	Foxq1
CEP19	Cep19
ZNF629	Zfp629
KLK5	Klk5
CWF19L2	Cwf19l2
PF4	Pf4
PCDHB15	Pcdhb22
SERPINF2	Serpinf2
STMN2	Stmn2
ZFP91	Zfp91
NFKB1	Nfkb1
RPRD2	Rprd2
HMX1	Hmx1
PRLR	Prlr
UACA	Uaca
ACO1	Aco1
GPAT2	Gpat2
ZNF648	Zfp648
COL28A1	Col28a1
DUSP10	Dusp10
SNX13	Snx13
MCTP1	Mctp1
HIST1H1T	Hist1h1t
SERTM1	Sertm1
SNX16	Snx16
PARG	Parg
TAF5	Taf5
RDH14	Rdh14
APCDD1	Apcdd1
TNPO3	Tnpo3
ZNF8	Zfp128
THBS4	Thbs4
NETO1	Neto1
C22orf15	Gm867
STC1	Stc1
DFFB	Dffb
TGIF2	Tgif2
HIST1H3A	Hist1h3d
ARHGAP20	Arhgap20
CD2	Cd2
CWH43	Cwh43
PLA2G4E	Pla2g4e
CYTH4	Cyth4
FLT1	Flt1
EMCN	Emcn
TMEM68	Tmem68
ACSL4	Acsl4
ACTRT1	Actrt1
TROAP	Troap
SIPA1L1	Sipa1l1
DDRGK1	Ddrgk1
SPIN4	Spin4
RNF41	Rnf41
PLA2G4C	Pla2g4c
GP1BA	Gp1ba
BSN	Bsn
SLC1A4	Slc1a4
NUP155	Nup155
HSPA14	Hspa14
VPS35	Vps35
OR2B11	Olfr222
SEC16B	Sec16b
HES1	Hes1
LRMP	Lrmp
NUP54	Nup54
MYCBPAP	Mycbpap
RICTOR	Rictor
ARHGAP19	Arhgap19
ENOPH1	Enoph1
SLC28A2	Slc28a2
TMC1	Tmc1
WDR17	Wdr17
HSPA2	Hspa2
FOXD1	Foxd1
CD34	Cd34
EPB41L2	Epb41l2
HENMT1	Henmt1
LRP6	Lrp6
HYOU1	Hyou1
MLANA	Mlana
GNB3	Gnb3
ANKFY1	Ankfy1
CCDC88B	Ccdc88b
HMBOX1	Hmbox1
CPA2	Cpa2
POLA1	Pola1
OR51T1	Olfr574
TBC1D22B	Tbc1d22b
GULP1	Gulp1
FAM98A	Fam98a
QSOX2	Qsox2
CHST4	Chst4
CYC1	Cyc1
MYCN	Mycn
CLEC7A	Clec7a
VSTM2A	Vstm2a
CLDN2	Cldn2
OLFML1	Olfml1
EDF1	Edf1
CTSO	Ctso
EIF2B3	Eif2b3
TRAPPC11	Trappc11
NRP2	Nrp2
LRRC28	Lrrc28
ELOVL6	Elovl6
VPS36	Vps36
TM4SF1	Tm4sf1
OR10A4	Olfr17
METTL3	Mettl3
RAB10	Rab10
CA2	Car2
SFN	Sfn
RBPMS	Rbpms
PPP1R17	Ppp1r17
STRN3	Strn3
CCDC12	Ccdc12
PFN1	Pfn1
LACC1	Lacc1
CPEB4	Cpeb4
PRMT5	Prmt5
NCAM1	Ncam1
BRMS1	Brms1
PGAP1	Pgap1
MMP2	Mmp2
DGAT2	Dgat2
MFSD8	Mfsd8
EPHB3	Ephb3
SHROOM1	Shroom1
GABBR1	Gabbr1
THSD4	Thsd4
TNPO2	Tnpo2
TSPAN9	Tspan9
PITPNA	Pitpna
RCSD1	Rcsd1
HAP1	Hap1
EAPP	Eapp
ADAM22	Adam22
NFATC2	Nfatc2
GPC3	Gpc3
ATF4	Atf4
NUP62	Nup62
KHDRBS3	Khdrbs3
KDM1A	Kdm1a
CDC20B	Cdc20b
NDP	Ndp
PER2	Per2
ELP2	Elp2
AS3MT	As3mt
C1orf53	2310009B15Rik
HSD17B6	Hsd17b6
SFMBT2	Sfmbt2
PLXND1	Plxnd1
FRMD5	Frmd5
BNC1	Bnc1
CABYR	Cabyr
KIAA1024L	A730017C20Rik
OR51F2	Olfr568
PSMD5	Psmd5
NIPBL	Nipbl
ZMYND8	Zmynd8
TARBP1	Tarbp1
SNRPD3	Snrpd3
SEMA5A	Sema5a
OR52J3	Olfr592
NECAP2	Necap2
ZBTB38	Zbtb38
POLR2C	Polr2c
OPHN1	Ophn1
RGL1	Rgl1
ZNF280D	Zfp280d
MYOCD	Myocd
PLIN4	Plin4
PAX2	Pax2
EXD2	Exd2
ARL2BP	Arl2bp
MRGPRX1	Mrgprb2
PHYH	Phyh
AFF4	Aff4
SUGT1	Sugt1
ZNF646	Zfp646
CTSA	Ctsa
CRELD2	Creld2
PTPN6	Ptpn6
LMX1B	Lmx1b
NOC3L	Noc3l
CEP290	Cep290
DEK	Dek
GGNBP2	Ggnbp2
PRSS12	Prss12
ARNT2	Arnt2
SYT1	Syt1
POLE2	Pole2
FAM84B	Fam84b
DCAF17	Dcaf17
STX7	Stx7
OLIG2	Olig2
TNMD	Tnmd
LIN54	Lin54
RUNX1T1	Runx1t1
DUSP27	Dusp27
DNAJC15	Dnajc15
WNT9B	Wnt9b
HNRNPUL1	Hnrnpul1
DCAKD	Dcakd
NEU1	Neu1
TIPIN	Tipin
FAM172A	Fam172a
CHST14	Chst14
CNOT4	Cnot4
SCN10A	Scn10a
MYF6	Myf6
KAT6A	Kat6a
PITRM1	Pitrm1
FAHD1	Fahd1
OR4N5	Olfr722
MYO7A	Myo7a
ULBP1	Ulbp1
USP38	Usp38
C7orf26	E130309D02Rik
AGA	Aga
CHRAC1	Chrac1
POLD2	Pold2
AKNAD1	Aknad1
ADAMTS10	Adamts10
TM9SF1	Tm9sf1
MPHOSPH6	Mphosph6
MIER3	Mier3
TP63	Trp63
CAMSAP2	Camsap2
FAM20A	Fam20a
NAA50	Naa50
LPGAT1	Lpgat1
UHRF1	Uhrf1
GPR142	Gpr142
PPM1B	Ppm1b
SP7	Sp7
CCR1	Ccr1
USP26	Usp26
SSTR3	Sstr3
PCGF1	Pcgf1
PLIN3	Plin3
CRY1	Cry1
ZNF366	Zfp366
SLC25A18	Slc25a18
KRTCAP3	Krtcap3
PELI1	Peli1
ITGAD	Itgad
WDR47	Wdr47
SCAP	Scap
DOPEY2	Dopey2
DHX57	Dhx57
RLN1	Rln1
STK32B	Stk32b
SULF2	Sulf2
NCS1	Ncs1
FAM169A	Fam169a
C5orf30	D1Ertd622e
SLC30A7	Slc30a7
BCAP29	Bcap29
PRMT8	Prmt8
RBM43	Rbm43
BEST1	Best1
GTF3A	Gtf3a
SFI1	Sfi1
CNNM4	Cnnm4
TTYH2	Ttyh2
MAEL	Mael
GABRB2	Gabrb2
KLF15	Klf15
F10	F10
ASTE1	Aste1
MB	Mb
ENGASE	Engase
RNF183	Rnf183
CHRDL1	Chrdl1
NBAS	Nbas
ITGB3BP	Itgb3bp
IGFLR1	Igflr1
RAP1B	Rap1b
FAM102A	Fam102a
C1orf106	5730559C18Rik
SRL	Srl
MED30	Med30
STK35	Stk35
MAP4K3	Map4k3
MARC1	Marc1
MAP3K9	Map3k9
C1orf52	2410004B18Rik
SMCHD1	Smchd1
IFITM2	Ifitm2
MAFA	Mafa
IPO11	Ipo11
DDHD2	Ddhd2
VSIG4	Vsig4
SP140	Sp140
PCOLCE	Pcolce
JAKMIP1	Jakmip1
DNAH10	Dnah10
CYP11B2	Cyp11b1
FLOT2	Flot2
ELOVL7	Elovl7
TAS2R4	Tas2r108
GPI	Gpi1
RAB30	Rab30
MVD	Mvd
TMEM234	Tmem234
B3GALT2	B3galt2
CELF4	Celf4
ATF7IP	Atf7ip
ZMAT4	Zmat4
CHID1	Chid1
INHBB	Inhbb
SLC25A51	Slc25a51
ZNF362	Zfp362
FAM131C	Fam131c
ABCB1	Abcb1a
SDHAF2	Sdhaf2
ARID2	Arid2
DNAJA3	Dnaja3
GPR162	Gpr162
GATAD1	Gatad1
ACTR2	Actr2
NUDT4	Nudt4
DACH1	Dach1
PPP6R3	Ppp6r3
MIOS	Mios
P2RX6	P2rx6
PRKD1	Prkd1
GFI1B	Gfi1b
CASK	Cask
PRPF4B	Prpf4b
MAP9	Map9
FTCD	Ftcd
RTN2	Rtn2
CREB3L4	Creb3l4
HSD17B7	Hsd17b7
ST6GAL2	St6gal2
PNN	Pnn
VPREB3	Vpreb3
SNX1	Snx1
LRRK2	Lrrk2
CRBN	Crbn
SPIRE2	Spire2
CENPJ	Cenpj
ORC5	Orc5
CKAP2L	Ckap2l
NHLH1	Nhlh1
XKR4	Xkr4
C11orf49	1110051M20Rik
GADD45B	Gadd45b
EID3	Eid3
CHD7	Chd7
P2RX4	P2rx4
FOXI3	Foxi3
UGGT2	Uggt2
SPINT1	Spint1
AIFM3	Aifm3
SLC25A47	Slc25a47
PGM2	Pgm1
ACMSD	Acmsd
MRPL10	Mrpl10
PRDM10	Prdm10
ASTN2	Astn2
NRF1	Nrf1
OR13C8	Olfr272
ALS2CR12	Als2cr12
TES	Tes
LOXL2	Loxl2
FAM110B	Fam110b
CDH10	Cdh10
FAM221B	Fam221b
IQCB1	Iqcb1
RP1L1	Rp1l1
KBTBD8	Kbtbd8
RGCC	Rgcc
DAB1	Dab1
CDC42EP4	Cdc42ep4
DNAJC9	Dnajc9
ANKK1	Ankk1
CTSD	Ctsd
LRRC4C	Lrrc4c
DDIT4L	Ddit4l
DAPK3	Dapk3
CXCL13	Cxcl13
EME1	Eme1
DDX41	Ddx41
SLC4A2	Slc4a2
ZEB1	Zeb1
NCF2	Ncf2
IK	Ik
AMBN	Ambn
ACY1	Acy1
SNTN	Sntn
CSNK1G3	Csnk1g3
